cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles,snapshot_num
0.139941,0.161783,0.0,0.8649919954506963,0.13500800454930373,snapshot_110.xyz,32,10000,110
0.13995,0.164061,0.0,0.8530363706182456,0.14696362938175445,snapshot_111.xyz,32,10000,111
0.137771,0.160779,0.0,0.8568967340262099,0.14310326597379008,snapshot_112.xyz,32,10000,112
0.139977,0.162489,0.0,0.8614552369698871,0.13854476303011287,snapshot_113.xyz,32,10000,113
0.139974,0.16275,0.0,0.8600552995391704,0.13994470046082963,snapshot_114.xyz,32,10000,114
0.141288,0.161796,0.0,0.8732477935177632,0.12675220648223684,snapshot_115.xyz,32,10000,115
0.140624,0.162526,0.0,0.86524002313476,0.13475997686524,snapshot_116.xyz,32,10000,116
0.141627,0.163195,0.0,0.8678390882073592,0.13216091179264078,snapshot_117.xyz,32,10000,117
0.140672,0.162448,0.0,0.8659509504579926,0.13404904954200736,snapshot_118.xyz,32,10000,118
0.143094,0.165039,0.0,0.8670314289349791,0.1329685710650209,snapshot_119.xyz,32,10000,119
0.142707,0.163521,0.0,0.8727135964188086,0.12728640358119137,snapshot_120.xyz,32,10000,120
0.140473,0.16285,0.0,0.8625913417255142,0.13740865827448578,snapshot_121.xyz,32,10000,121
0.143247,0.163867,0.0,0.8741662445763942,0.12583375542360575,snapshot_122.xyz,32,10000,122
0.141288,0.162726,0.0,0.8682570701670291,0.13174292983297087,snapshot_123.xyz,32,10000,123
0.143206,0.164152,0.0,0.8723987523758469,0.12760124762415315,snapshot_124.xyz,32,10000,124
0.142023,0.163651,0.0,0.8678407098031788,0.13215929019682116,snapshot_125.xyz,32,10000,125
0.137505,0.161448,0.0,0.8516983796640403,0.14830162033595973,snapshot_126.xyz,32,10000,126
0.142117,0.162078,0.0,0.8768432483125408,0.12315675168745921,snapshot_127.xyz,32,10000,127
0.141191,0.162294,0.0,0.8699705472783961,0.13002945272160393,snapshot_128.xyz,32,10000,128
0.143295,0.163978,0.0,0.8738672260913048,0.12613277390869515,snapshot_129.xyz,32,10000,129
0.142896,0.163584,0.0,0.8735328638497651,0.12646713615023486,snapshot_130.xyz,32,10000,130
